Sample,PP,Length,Width
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),4.318,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.556,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.476,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),4.318,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.26,4.102
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),8.689,3.379
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.275,2.896
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.185,3.293
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),10.733,3.403
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.556,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.476,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),8.981,2.994
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.185,2.694
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.509,2.731
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.476,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.63,5.856
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),4.318,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.089,2.994
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.498,3.665
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),4.579,2.29
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.343,2.29
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),8.192,4.096
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.31,2.896
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.793,2.896
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.343,3.053
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),11.585,4.827
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.241,2.896
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),8.26,3.54
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),3.816,2.29
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.715,2.964
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.397,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),4.579,2.29
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.397,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),4.827,2.896
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),4.491,2.096
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),3.238,3.238
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],62.67,42.654
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],38.68,28.145
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],47.346,15.987
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],19.442,18.039
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],23.862,16.626
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],23.746,16.191
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],22.998,12.121
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],17.492,10.554
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],15.543,12.521
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],18.44,10.423
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],22.945,18.217
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],18.565,9.499
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],19.522,11.409
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],19.437,11.476
