p.adj,p.val,log2FC,significant,Protein Ids,Majority Protein Ids,gene names,Peptides
0.936288028,0.350156498,0.670799792,n.s.,A0A3Q1NNQ9;E1BGF3,A0A3Q1NNQ9;E1BGF3,HCFC1,5
1,0.974409694,-0.031092202,n.s.,A0A3S5ZP98;Q2KJC9;E1BFG0,A0A3S5ZP98;Q2KJC9;E1BFG0,ALDH7A1,16
0.740537842,0.173738263,0.928210917,n.s.,A0A3S5ZPE0;C1JZ67,A0A3S5ZPE0;C1JZ67,KPNA4,2
0.604008974,0.096271518,-0.409998468,n.s.,A0A3S5ZPM3;Q3ZCI4;Q862J6,A0A3S5ZPM3;Q3ZCI4,PGD,21
1,0.732056899,0.099871825,n.s.,A0A3S5ZPU0;A4IFC8,A0A3S5ZPU0;A4IFC8,LIG1,28
1,0.846874289,-0.241448655,n.s.,A0A452DHZ5;Q0P569,A0A452DHZ5;Q0P569,NUCB1,14
1,0.522347356,-0.244814507,n.s.,A0A452DI24;P50397;A0A3Q1MPF1;A0A3Q1MNB1,A0A452DI24;P50397;A0A3Q1MPF1,GDI2,19
1,0.795944031,0.134656956,n.s.,A0A452DI45;A0A3Q1LR88;A0A3Q1N8A3;A0A3Q1LPZ4;P79136;A0A3Q1LZP7;A0A3Q1MG13,A0A452DI45;A0A3Q1LR88;A0A3Q1N8A3;A0A3Q1LPZ4;P79136;A0A3Q1LZP7;A0A3Q1MG13,CAPZB,8
1,0.889083042,0.023248438,n.s.,A0A452DID9;P60661;A0A3Q1MDB1;A1XEA6;A1XEA7,A0A452DID9;P60661;A0A3Q1MDB1,MYL6,12
1,0.914487157,-0.064863766,n.s.,A0A452DII8;P00829;Q0QEM9,A0A452DII8;P00829;Q0QEM9,ATP5F1B,42
1,0.701991622,0.112763173,n.s.,A0A452DIL5;Q32LE9;J7HCG2,A0A452DIL5;Q32LE9,CSRP2,7
0.884796796,0.281572964,0.3174341,n.s.,A0A452DIW4;Q3T145,A0A452DIW4;Q3T145,MDH1,17
1,0.501313604,0.178316513,n.s.,A0A452DIZ9;Q27991;A0A3Q1LNB7;F1MM57;Q27990,A0A452DIZ9;Q27991,MYH10,53
1,0.669334154,-0.091429633,n.s.,A0A452DJ66;Q2HJ86;F2Z4C1;Q2HJB8;Q862L2;Q7M372;Q862I8,A0A452DJ66;Q2HJ86;F2Z4C1,TUBA1D,36
1,0.980347712,-0.033092564,n.s.,A0A452DJE9;A0A452DKD0;P04973,A0A452DJE9;A0A452DKD0;P04973,CLTA,11
1,0.785615118,0.057249106,n.s.,A0A452DJG1;P31404,A0A452DJG1;P31404,ATP6V1A,13
1,0.677413226,0.338493923,n.s.,A0A452DJG7;Q3SZI6;A0A3Q1MS82,A0A452DJG7;Q3SZI6;A0A3Q1MS82,RPN2,6
